Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
239,Malcolm Hill\hillma01,SG,26,ATL,3,0,15.3,1.7,2.7,.625,1.0,1.7,.600,0.7,1.0,.667,.813,1.3,1.3,1.000,0.7,1.3,2.0,0.3,1.3,0.3,0.0,2.3,5.7
239,Malcolm Hill\hillma01,SF,26,CHI,14,0,10.8,1.3,2.9,.439,0.7,2.1,.345,0.6,0.9,.667,.561,0.5,0.7,.700,0.6,1.2,1.9,0.3,0.1,0.1,0.1,1.1,3.8
240,Solomon Hill\hillso01,PF,30,ATL,13,1,10.7,0.2,1.5,.150,0.2,1.0,.154,0.1,0.5,.143,.200,0.0,0.0,,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6
241,Nate Hinton\hintona01,SG,22,IND,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
242,Jaylen Hoard\hoardja01,SF,22,OKC,3,1,22.0,2.0,4.3,.462,0.3,1.3,.250,1.7,3.0,.556,.500,0.7,1.3,.500,3.0,5.7,8.7,1.3,0.0,0.7,0.7,1.0,5.0
243,Aaron Holiday\holidaa01,PG,25,TOT,59,14,16.2,2.4,5.2,.468,0.6,1.5,.396,1.8,3.7,.498,.526,0.8,1.0,.862,0.3,1.5,1.9,2.4,0.7,0.2,1.1,1.4,6.3
243,Aaron Holiday\holidaa01,PG,25,WAS,41,14,16.2,2.4,5.2,.467,0.6,1.6,.343,1.9,3.6,.524,.521,0.7,0.9,.800,0.2,1.4,1.6,1.9,0.6,0.2,1.0,1.5,6.1
243,Aaron Holiday\holidaa01,PG,25,PHO,18,0,16.4,2.4,5.2,.468,0.7,1.3,.542,1.7,3.9,.443,.537,1.2,1.3,.957,0.6,1.8,2.4,3.5,0.9,0.0,1.3,1.2,6.8
244,Jrue Holiday\holidjr01,PG,31,MIL,63,60,33.4,7.3,14.5,.502,2.0,4.8,.416,5.3,9.6,.545,.572,2.1,2.7,.767,1.0,3.5,4.5,6.8,1.7,0.4,2.8,2.0,18.7
245,Justin Holiday\holidju01,SF-SG,32,TOT,71,62,28.0,3.5,9.0,.389,2.4,6.6,.358,1.2,2.4,.474,.520,0.7,0.9,.806,0.4,2.2,2.6,1.7,0.7,0.5,1.0,2.1,10.1
245,Justin Holiday\holidju01,SF,32,IND,49,40,28.9,3.9,9.3,.415,2.6,6.9,.378,1.3,2.5,.516,.553,0.7,0.8,.829,0.4,2.4,2.8,1.8,0.7,0.4,1.0,2.1,11.0
245,Justin Holiday\holidju01,SG,32,SAC,22,22,26.1,2.7,8.4,.326,1.9,6.0,.308,0.9,2.3,.373,.438,0.7,1.0,.762,0.5,1.8,2.3,1.4,0.7,0.7,0.9,1.9,8.0
246,Richaun Holmes\holmeri01,C,28,SAC,45,37,23.9,4.4,6.7,.660,0.0,0.1,.400,4.4,6.6,.664,.663,1.6,2.0,.778,2.1,5.0,7.0,1.1,0.4,0.9,1.2,2.8,10.4
247,Rodney Hood\hoodro01,SF-SG,29,TOT,50,0,13.7,1.1,3.1,.361,0.6,1.8,.315,0.6,1.3,.424,.452,0.3,0.3,.882,0.3,1.2,1.5,0.7,0.3,0.1,0.2,0.6,3.1
247,Rodney Hood\hoodro01,SF,29,MIL,39,0,14.9,1.2,3.4,.351,0.6,2.1,.300,0.6,1.3,.431,.443,0.3,0.4,.929,0.3,1.4,1.7,0.8,0.3,0.1,0.2,0.7,3.3
247,Rodney Hood\hoodro01,SG,29,LAC,11,0,9.5,0.9,2.2,.417,0.4,0.8,.444,0.5,1.4,.400,.500,0.2,0.3,.667,0.2,0.5,0.6,0.5,0.3,0.2,0.4,0.2,2.4
248,Scotty Hopson\hopsosc01,SG,32,OKC,1,0,18.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0
249,Al Horford\horfoal01,C,35,BOS,67,67,29.1,3.8,8.3,.457,1.3,3.9,.326,2.5,4.4,.573,.533,1.2,1.4,.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.0
250,Talen Horton-Tucker\hortota01,SG,21,LAL,56,16,25.1,3.6,8.6,.416,0.8,3.0,.269,2.8,5.6,.494,.463,1.4,1.8,.777,0.6,2.6,3.2,2.6,0.9,0.5,1.4,2.5,9.4
251,Danuel House Jr.\houseda01,SF,28,TOT,38,5,16.3,1.8,4.4,.402,1.0,2.6,.381,0.8,1.9,.431,.512,0.9,1.2,.778,0.4,2.2,2.6,1.1,0.4,0.4,0.7,1.2,5.5
251,Danuel House Jr.\houseda01,SF,28,HOU,16,1,14.6,1.6,4.6,.338,0.6,2.1,.294,0.9,2.5,.375,.405,1.1,1.2,.895,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1.0,4.8
251,Danuel House Jr.\houseda01,SF,28,NYK,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Danuel House Jr.\houseda01,SF,28,UTA,21,4,18.3,2.0,4.5,.457,1.3,3.0,.435,0.8,1.5,.500,.601,0.9,1.2,.692,0.5,2.0,2.6,1.1,0.5,0.4,0.4,1.3,6.2
252,Dwight Howard\howardw01,C,36,LAL,57,24,15.8,2.1,3.5,.608,0.1,0.2,.636,2.0,3.3,.606,.626,1.4,2.2,.641,1.9,3.8,5.8,0.5,0.6,0.6,0.8,2.0,5.8
253,Markus Howard\howarma02,SG,22,DEN,29,0,5.1,1.1,2.8,.378,0.9,2.1,.433,0.2,0.8,.227,.537,0.4,0.5,.867,0.0,0.3,0.3,0.2,0.3,0.0,0.2,0.4,3.5
254,Kevin Huerter\huertke01,SG,23,ATL,70,56,29.5,4.6,10.3,.452,2.1,5.5,.388,2.5,4.7,.527,.556,0.6,0.7,.800,0.4,2.9,3.4,2.7,0.7,0.4,1.3,2.5,12.0
255,Jay Huff\huffja01,C,23,LAL,4,0,5.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.8,1.0,0.3,0.3,0.3,0.3,0.3,0.0
256,Elijah Hughes\hugheel01,SG-SF,23,TOT,32,4,11.5,1.3,3.8,.333,0.7,2.5,.275,0.6,1.3,.450,.425,0.2,0.2,.714,0.2,1.4,1.6,0.6,0.4,0.2,0.4,1.1,3.3
256,Elijah Hughes\hugheel01,SF,23,UTA,14,1,8.0,1.1,2.6,.417,0.7,2.0,.357,0.4,0.6,.625,.556,0.2,0.2,1.000,0.1,1.1,1.2,0.4,0.3,0.1,0.5,0.5,3.1
256,Elijah Hughes\hugheel01,SG,23,POR,18,3,14.2,1.4,4.7,.298,0.7,2.9,.231,0.7,1.8,.406,.369,0.1,0.2,.500,0.2,1.7,1.8,0.7,0.4,0.3,0.3,1.5,3.6
257,De'Andre Hunter\huntede01,SF,24,ATL,49,48,29.7,4.8,10.7,.448,1.4,3.7,.372,3.4,7.0,.488,.512,2.4,3.1,.760,0.5,2.9,3.3,1.3,0.7,0.4,1.3,2.9,13.4
